,id,key,attack,defense,magic,difficulty,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,Assassin,Fighter,Mage,Marksman,Support,Tank
135,Volibear,4,7,7,4,3,580.0,90,350.0,50.0,340,31.0,4.0,32.0,1.25,150,9.0,0.75,6.25,0.5,0,0,60.0,3.0,2.0,0.625,0,1,0,0,0,1
136,Warwick,4,9,5,3,3,550.0,85,280.0,35.0,335,33.0,3.2,32.1,1.25,125,4.0,0.75,7.466,0.575,0,0,65.0,3.0,2.3,0.638,0,1,0,0,0,1
137,Xayah,4,10,6,1,5,590.0,88,340.0,40.0,325,25.0,3.0,30.0,0.5,525,3.25,0.75,8.25,0.75,0,0,60.0,2.9,3.3,0.625,0,0,0,1,0,0
138,Xerath,1,1,3,10,8,526.0,92,459.0,22.0,340,21.88,3.5,30.0,0.5,525,5.5,0.55,8.0,0.8,0,0,54.7,3.0,1.36,0.625,0,0,1,0,0,0
139,XinZhao,4,8,6,3,2,570.0,92,273.8,35.0,345,35.0,3.5,32.1,1.25,175,8.0,0.7,7.256,0.45,0,0,66.0,3.0,3.5,0.645,1,1,0,0,0,0
140,Yasuo,4,8,4,4,10,490.0,87,100.0,0.0,345,30.0,3.4,32.0,1.25,175,6.5,0.9,0.0,0.0,0,0,60.0,3.2,2.5,0.6970000000000001,1,1,0,0,0,0
141,Yone,4,8,4,4,8,550.0,85,500.0,0.0,345,28.0,3.4,32.0,1.25,175,7.5,0.75,0.0,0.0,0,0,60.0,3.0,2.5,0.625,1,1,0,0,0,0
142,Yorick,4,6,6,4,6,580.0,100,300.0,40.0,340,39.0,4.0,32.0,1.25,175,8.0,0.8,7.5,0.75,0,0,62.0,5.0,2.0,0.625,0,1,0,0,0,1
143,Yuumi,0,5,1,8,2,480.0,70,400.0,45.0,330,25.0,3.0,25.0,0.3,500,7.0,0.55,10.0,0.4,0,0,55.0,3.1,1.0,0.625,0,0,1,0,1,0
144,Zac,3,3,7,7,8,615.0,95,0.0,0.0,340,33.0,3.5,32.0,1.25,175,8.0,0.5,0.0,0.0,0,0,60.0,3.4,1.6,0.736,0,1,0,0,0,1
145,Zed,2,9,2,1,7,584.0,85,200.0,0.0,345,32.0,3.5,32.1,1.25,125,7.0,0.65,50.0,0.0,0,0,63.0,3.4,3.3,0.6509999999999999,1,0,0,0,0,0
146,Ziggs,1,2,4,9,4,536.0,92,480.0,23.5,325,21.544,3.3,30.0,0.5,550,6.5,0.6,8.0,0.8,0,0,54.208,3.1,2.0,0.6559999999999999,0,0,1,0,0,0
147,Zilean,1,2,5,8,6,504.0,82,452.0,30.0,335,24.0,3.8,30.0,0.5,550,5.5,0.5,11.335,0.8,0,0,51.64,3.0,2.13,0.625,0,0,1,0,1,0
148,Zoe,1,1,7,8,5,560.0,92,425.0,25.0,340,20.8,3.5,30.0,0.5,550,6.5,0.6,8.0,0.65,0,0,58.0,3.3,2.5,0.625,0,0,1,0,1,0
149,Zyra,1,4,3,8,7,504.0,79,418.0,25.0,340,29.0,3.0,30.0,0.5,575,5.5,0.5,13.0,0.4,0,0,53.376000000000005,3.2,2.11,0.625,0,0,1,0,1,0
